ID,Latitude,Longitude,HillslopeSetting,ImagerySource
LS000001,34.495319,-119.665855,Modified,CAP
LS000002,34.485462,-119.666801,Unmodified,USGS
LS000003,34.484997,-119.657990,Unmodified,USGS
LS000004,34.486328,-119.657555,Unmodified,USGS
LS000005,34.484005,-119.652641,Unmodified,USGS
LS000006,34.483574,-119.650215,Unmodified,USGS
LS000007,34.481419,-119.649643,Unmodified,USGS
LS000008,34.488525,-119.667519,Unmodified,USGS
LS000009,34.477890,-119.673103,Unmodified,USGS
LS000010,34.475506,-119.674019,Unmodified,USGS
LS000011,34.475601,-119.670731,Unmodified,USGS
LS000012,34.476307,-119.669548,Unmodified,USGS
LS000013,34.474884,-119.662727,Unmodified,USGS
LS000014,34.475452,-119.661583,Unmodified,USGS
LS000015,34.474258,-119.658478,Unmodified,USGS
LS000016,34.473873,-119.662750,Unmodified,USGS
LS000017,34.474197,-119.663078,Unmodified,USGS
LS000018,34.474545,-119.662720,Unmodified,USGS
LS000019,34.473938,-119.666191,Unmodified,USGS
LS000020,34.474113,-119.666214,Unmodified,USGS
LS000021,34.474689,-119.666550,Unmodified,USGS
LS000022,34.473423,-119.679886,Modified,USGS
LS000023,34.472755,-119.678535,Modified,USGS
LS000024,34.472775,-119.679169,Modified,USGS
LS000025,34.471859,-119.677788,Modified,USGS
LS000026,34.471210,-119.669212,Unmodified,USGS
LS000027,34.471668,-119.664719,Unmodified,USGS
LS000028,34.471283,-119.664040,Unmodified,USGS
LS000029,34.470985,-119.664131,Unmodified,USGS
LS000030,34.470444,-119.664322,Unmodified,USGS
LS000031,34.470207,-119.662422,Unmodified,USGS
LS000032,34.469913,-119.661789,Unmodified,USGS
LS000033,34.467957,-119.662163,Unmodified,USGS
LS000034,34.468182,-119.661766,Unmodified,USGS
LS000035,34.468513,-119.661469,Unmodified,USGS
LS000036,34.469318,-119.659813,Unmodified,USGS
LS000037,34.471737,-119.655914,Unmodified,USGS
LS000038,34.470287,-119.655685,Unmodified,USGS
LS000039,34.470287,-119.655540,Unmodified,USGS
LS000040,34.470585,-119.653580,Unmodified,USGS
LS000041,34.470955,-119.653786,Unmodified,USGS
LS000042,34.470573,-119.650391,Unmodified,USGS
LS000043,34.470779,-119.650757,Unmodified,USGS
LS000044,34.470161,-119.649788,Unmodified,USGS
LS000045,34.471626,-119.651039,Unmodified,USGS
LS000046,34.467995,-119.651123,Unmodified,USGS
LS000047,34.468334,-119.652542,Unmodified,USGS
LS000048,34.467400,-119.653000,Unmodified,CAP
LS000049,34.466534,-119.654282,Unmodified,USGS
LS000050,34.466610,-119.654343,Unmodified,USGS
LS000051,34.466690,-119.655594,Unmodified,USGS
LS000052,34.466499,-119.655296,Unmodified,USGS
LS000053,34.466061,-119.654488,Unmodified,USGS
LS000054,34.465527,-119.654564,Unmodified,USGS
LS000055,34.465660,-119.653748,Unmodified,USGS
LS000056,34.465893,-119.657692,Unmodified,USGS
LS000057,34.465954,-119.660622,Unmodified,USGS
LS000058,34.466255,-119.661026,Unmodified,USGS
LS000059,34.468376,-119.673347,Modified,USGS
LS000060,34.467644,-119.676575,Modified,USGS
LS000061,34.468815,-119.676849,Modified,USGS
LS000062,34.468987,-119.677071,Modified,USGS
LS000063,34.465191,-119.678612,Modified,USGS
LS000064,34.465038,-119.678337,Modified,USGS
LS000065,34.464554,-119.676277,Modified,USGS
LS000066,34.465836,-119.673370,Modified,USGS
LS000067,34.465759,-119.672516,Modified,USGS
LS000068,34.463909,-119.663864,Unmodified,USGS
LS000069,34.464588,-119.655479,Unmodified,USGS
LS000070,34.462315,-119.654160,Unmodified,USGS
LS000071,34.462532,-119.654411,Unmodified,USGS
LS000072,34.461582,-119.662209,Unmodified,USGS
LS000073,34.460663,-119.661484,Modified,USGS
LS000074,34.460388,-119.660454,-9999,USGS
LS000075,34.460155,-119.660622,Modified,USGS
LS000076,34.460533,-119.666969,Unmodified,USGS
LS000077,34.459396,-119.670532,Modified,USGS
LS000078,34.458496,-119.669640,Modified,USGS
LS000079,34.457474,-119.671936,Modified,USGS
LS000080,34.457546,-119.672226,Modified,USGS
LS000081,34.457611,-119.672478,Modified,USGS
LS000082,34.457874,-119.672348,Modified,USGS
LS000083,34.458088,-119.672356,Modified,USGS
LS000084,34.458214,-119.672379,Modified,USGS
LS000085,34.458332,-119.672905,Modified,USGS
LS000086,34.458435,-119.673325,Modified,CAP
LS000087,34.458260,-119.673882,-9999,USGS
LS000088,34.458088,-119.674110,-9999,USGS
LS000089,34.456932,-119.677483,Modified,USGS
LS000090,34.456211,-119.672562,Modified,USGS
LS000091,34.456470,-119.672997,Modified,USGS
LS000092,34.456333,-119.671783,Modified,USGS
LS000093,34.456352,-119.671707,Modified,USGS
LS000094,34.457623,-119.669510,Modified,USGS
LS000095,34.461632,-119.670670,Unmodified,USGS
